titulo	direccion	precio	Baños	Piso de duela	Armarios empotrados	Roof Garden	Totalmente cercado	Estacionamientos	Estacionamiento techado	Construidos (m²)	Nivel	Mantenimiento	Habitaciones (en total)	Superficie construida (m²)	Amueblado	Recámaras	Jardín	Internet de banda ancha disponible	Estacionamiento vigilado	Calefacción	Disponible desde	Balcón	Acceso a TV de paga	Patio	Garaje	Jacuzzi	Estudio	Piso de loseta	Sistema de alarma	Cancha de tenis	Cocina Equipada	Cuarto de servicio	Gimnasio	Estacionamiento abierto	Área de juegos infantiles	Construido (Año)	Aire acondicionado	Condiciones de Precio	Terraza	Área de entretenimiento al aire libre	Estacionamiento para Visitas	Intercomunicador	Chimenea	Terreno (m²)	Alberca
Casa Nueva Cima de la Montaña Cumbres Elite Mty	Cima de las Cumbres, Monterrey	$ 8,950,000	5			True		2	True	434			8			3					25/07/22	True		True	True										True		True		True		True			181	
Casa Venta Cumbres Elite Cima del Bosque	Cima del Bosque, Monterrey	$ 7,650,000	4			True		2	True	340					No	3								True	True		True				True								True		True			160	
CASA EN VENTA EL BARRO SANTIAGO N.L.	El Barro, Santiago	$ 6,500,000	2					3		502					No	4					25/03/23																							3912.29	
CASA VENTA LA JOYA RESIDENCIAL, CARRETERA NACIONAL	La Joya, Monterrey	$ 12,500,000	5					3		400					No	3																												300	
Casa en Venta en La Joya, Carretera Nacional, Monterrey	La Joya, Monterrey	$ 10,300,000	4.5					3		354					No	3																												291	
Casa en Venta en Landana Residencial, Carretera Nacional	El Uro, Monterrey	$ 8,450,000	6					3		383					No	3																												300	
Casa en Venta Bosques de Vistancia Carretera Nacional	Vistancia, Monterrey	$ 8,550,000	4.5					4		303					No	3																												225	
Casa en Colonia Centro, Cadereyta Jiménez, NL.	Cadereyta Jimenez Centro, Cadereyta Jiménez	$ 2,200,000	1					3		200						3		True					True	True				True																494	
Casa en Venta, Col. CNOP en Guadalupe, N.L.	Ciudad Cnop, Guadalupe	$ 1,200,000	2					1		210					No	4					25/04/23		True					True											True					105	
CASA EN VENTA  CARRETERA NACIONAL SIERRA ALTA 9 SEC	Sierra Alta 1a Etapa, Monterrey	$ 26,500,000	6					4		750						5																												800	
Venta de Casa en Los Faisanes, Sector El Dorado, Gpe.N.L.	Los Faisanes, Guadalupe	$ 2,290,000	2					1	True	155					No	3				True	04/04/23			True				True			True						True							105	
Casa en Venta LAS LAJAS, Esquinera, alberca y 4 habitaciones.	Las Lajas, Monterrey	$ 15,000,000	5					2	True	417					No	4					01/08/22																		True					223	True
Casa en venta en Valle de Santa María	Santa Maria Pesquería, Pesquería	$ 700,000	1					2		57						2																				2012								103	
Casa en Venta Dominio Cumbres	Centro Villa de Garcia (casco), García	$ 3,945,000	5					2		230						3																												136	
CASA EN VENTA EN GENERAL ESCOBEDO, PRIVADAS DEL SAUCE	Privadas del Sauce, General Escobedo	$ 1,900,000	3		True			1		150					No	3		True	True		01/07/22	True	True	True															True					142	
Residencia en Col. Veredalta (Zona Valle) en San Pedro	Veredalta, San Pedro Garza García	$ 24,990,000	6					2	True	868					No	5								True															True	True				635	True
CASA EN VENTA EN CASTAÑOS DEL VERGEL ZONA SUR CARRETERA NACIONAL	El Uro, Monterrey	$ 11,900,000	6		True	True	True	3	True	450					No	4	True	True	True			True	True	True		True	True	True			True	True			True		True		True	True	True			251	True
VENTA DE CASA EN FRACCIONAMIENTO LAS BUGAMBILIAS MONTEMORELOS	Montemorelos	$ 1,050,000	1				True	5		60					No	2					21/01/23		True	True	True			True																200	
Casa en venta en Los Parques Residencial	Centro Villa de Garcia (casco), García	$ 920,000	2							114						3																				2010								111	
CASA EN VENTA EN VALLE ALTO	Valle Alto, Monterrey	$ 17,900,000	5.5	True	True		True	3		834						4	True	True		True	07/06/21	True					True	True	True		True	True					True				True		True	1119	
CASA EN VENTA RESIDENCIAL ORION MISION OBISPADO	Apodaca	$ 3,600,000	3.5		True		True	2	True	203					No	3	True	True			25/02/23	True	True				True	True			True				True		True			True				119	True
Casa en venta en Carretera Nacional / El Barrial, Santiago, NL - 7921	El Barrial, Santiago	$ 6,490,000	4					2		315						3																												417	
Casa en venta en Mirador Residencial	Mirador, Monterrey	$ 7,000,000	2					2		240						3																				1980								389	
Casa - Contry	Contry, Monterrey	$ 23,700,000	5							600						3																												420	
VENTA CASA GPE.RINCON DE GPE.	Rincón de Guadalupe, Guadalupe	$ 1,480,000	1.5					2		180					No	4					14/02/22							True				True					True							105	
Venta de Proyecto de hermosa Residencia en Loma Bonita, Zona Carretera Nacional.	Loma Bonita, Monterrey	$ 13,000,000	7				True	3	True	462					No	4	True		True		02/11/22	True		True								True												362	
Casa en venta en Valle de Santa María, Pesquería.	Santa Maria Pesquería, Pesquería	$ 410,000	1					1		34					No	1																												90	
Casa en venta en García, portal de la sierra.	Valle San Felipe, García	$ 500,000	1					1		39					No	2																												90	
Casa en venta en la Independencia en Monterrey Nuevo León	Independencia, Monterrey	$ 1,950,000	2					2		212						3																				2006								138	
Casa Venta Cumbres Altrysa Dominio Cumbres	Cumbres, Monterrey	$ 2,615,000	2.5					2	True	160					No	3								True									True		True									119	True
Venta Casa Hermosa Col. Framboyanes Cadereyta NL	Cadereyta Jiménez	$ 1,800,000	2		True		True	1	True	194						3								True				True			True						True							240	
Casa en Venta,ESTRICTA SEGURIDAD,Zona Sur,Zona Sierra Alta,Monterrey, Nuevo León	Monterrey	$ 11,600,000	4.5	True			True	4	True	322					No	3	True	True	True	True	01/04/23	True	True	True	True		True	True	True			True	True	True	True		True		True	True	True	True		433	True
Casa en venta en Col. Tacubaya, Guadalupe	Tacubaya, Guadalupe	$ 2,800,000	4					1		201						5																				1997									
Casa en venta en Fracc. Valle de Palmas	Valle de las Palmas I, Apodaca	$ 1,650,000	1							90						2																				2002								90	
Casa en venta en Barrio Antiguo Cd. Solidaridad	Ciudad Solidaridad, Monterrey	$ 1,100,000	1					2		54						2																				2009								91	
